"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2024","52.32","52.56","52.60","51.70","1.65M","-0.38%"
"03/26/2024","52.04","51.76","52.04","51.16","2.63M","-0.54%"
"03/27/2024","51.08","51.36","52.28","51.04","2.45M","-1.84%"
"03/28/2024","51.88","51.20","52.04","50.92","2.70M","1.57%"
"04/01/2024","52.56","51.96","53.32","51.70","2.87M","1.31%"
"04/02/2024","53.80","54.36","55.80","53.80","5.41M","2.36%"
"04/03/2024","53.44","54.64","54.92","52.88","3.78M","-0.67%"
"04/04/2024","55.98","52.64","57.64","52.12","9.01M","4.75%"
"04/05/2024","57.04","56.72","57.72","55.12","8.18M","1.89%"
"04/08/2024","54.80","56.00","56.48","54.36","4.33M","-3.93%"
"04/09/2024","54.40","54.56","56.84","54.12","5.62M","-0.73%"
"04/10/2024","55.44","55.76","57.56","55.16","9.04M","1.91%"
"04/11/2024","54.36","55.60","57.76","54.12","4.81M","-1.95%"
"04/12/2024","59.16","56.80","61.94","56.80","12.63M","8.83%"
"04/15/2024","62.44","57.40","62.72","56.72","9.15M","5.54%"
"04/16/2024","60.32","61.96","62.60","59.24","8.25M","-3.40%"
"04/17/2024","59.72","60.00","62.40","58.78","5.62M","-0.99%"
"04/18/2024","59.88","58.92","61.08","58.24","4.78M","0.27%"
"04/19/2024","61.84","60.12","62.82","59.28","6.29M","3.27%"
"04/22/2024","57.08","59.48","59.56","56.33","4.06M","-7.70%"
"04/23/2024","54.84","55.88","56.16","54.52","3.24M","-3.92%"
"04/24/2024","54.28","54.56","55.84","54.20","4.05M","-1.02%"
"04/25/2024","55.52","57.36","58.20","55.18","5.53M","2.28%"
"04/26/2024","53.72","53.96","54.44","53.44","2.95M","-3.24%"
"04/29/2024","52.80","53.16","53.96","52.44","2.19M","-1.71%"
"04/30/2024","54.44","53.00","54.56","52.36","2.79M","3.11%"
"05/01/2024","54.76","55.00","55.44","52.32","4.85M","0.59%"
"05/02/2024","52.96","53.60","55.08","52.72","2.40M","-3.29%"
"05/03/2024","51.16","51.08","52.12","50.88","3.77M","-3.40%"
"05/06/2024","49.64","50.36","50.44","49.64","2.14M","-2.97%"
"05/07/2024","49.64","49.56","50.04","49.50","2.57M","0.00%"
"05/08/2024","49.12","49.64","49.72","49.06","1.89M","-1.05%"
"05/09/2024","48.92","49.12","49.64","48.84","2.89M","-0.41%"
"05/10/2024","48.24","48.88","49.04","48.16","2.16M","-1.39%"
"05/13/2024","48.76","48.16","49.04","48.04","2.42M","1.08%"
"05/14/2024","47.96","48.76","49.08","47.76","1.73M","-1.64%"
"05/15/2024","46.08","47.00","47.44","46.08","2.22M","-3.92%"
"05/16/2024","46.04","46.08","46.54","45.92","2.73M","-0.09%"
"05/17/2024","45.44","46.00","46.20","45.36","2.32M","-1.30%"
"05/20/2024","45.52","45.48","45.84","45.00","2.24M","0.18%"
"05/21/2024","44.76","45.58","45.68","44.64","2.10M","-1.67%"
"05/22/2024","45.72","44.92","46.20","44.48","4.48M","2.14%"
"05/23/2024","46.36","44.80","46.92","44.56","5.58M","1.40%"
"05/24/2024","45.00","46.12","46.16","44.76","2.90M","-2.93%"
"05/28/2024","45.96","44.84","46.76","44.76","3.94M","2.13%"
"05/29/2024","47.72","48.00","48.16","46.92","3.46M","3.83%"
"05/30/2024","47.56","47.76","48.48","46.68","3.19M","-0.34%"
"05/31/2024","46.12","46.88","48.84","46.00","4.58M","-3.03%"
"06/03/2024","45.84","45.64","47.60","45.44","3.61M","-0.61%"
"06/04/2024","46.08","46.60","47.38","45.84","4.04M","0.52%"
"06/05/2024","45.24","45.48","46.48","45.04","2.41M","-1.82%"
"06/06/2024","45.00","45.00","45.48","44.76","2.21M","-0.53%"
"06/07/2024","44.52","44.92","45.10","44.12","3.28M","-1.07%"
"06/10/2024","44.40","45.16","45.40","44.28","1.98M","-0.27%"
"06/11/2024","44.44","45.00","45.60","44.28","2.29M","0.09%"
"06/12/2024","43.56","43.48","43.96","43.22","3.32M","-1.98%"
"06/13/2024","43.44","43.44","44.70","43.26","2.64M","-0.28%"
"06/14/2024","44.84","44.60","45.76","44.24","3.80M","3.22%"
"06/17/2024","44.76","44.92","45.48","44.16","3.70M","-0.18%"
"06/18/2024","44.52","44.16","44.96","44.02","2.06M","-0.54%"
"06/20/2024","46.20","44.44","46.32","44.38","3.25M","3.77%"
"06/21/2024","45.16","46.32","46.84","44.76","2.86M","-2.25%"
"06/24/2024","44.80","45.44","45.52","44.32","2.74M","-0.80%"
"06/25/2024","44.00","44.76","45.08","43.80","1.83M","-1.79%"
"06/26/2024","43.52","44.04","44.24","43.40","1.85M","-1.09%"
"06/27/2024","43.24","43.52","43.60","43.12","1.77M","-0.64%"
"06/28/2024","43.68","43.16","43.80","42.88","2.02M","1.02%"
"07/01/2024","41.96","43.24","43.44","41.96","2.35M","-3.94%"
"07/02/2024","41.48","42.20","42.24","41.36","1.27M","-1.14%"
"07/03/2024","41.68","41.40","41.80","41.28","1.13M","0.48%"
"07/05/2024","41.84","41.52","42.16","41.46","1.74M","0.38%"
"07/08/2024","41.08","41.36","41.40","40.84","1.72M","-1.82%"
"07/09/2024","41.20","41.04","41.46","40.88","1.29M","0.29%"
"07/10/2024","41.12","41.24","41.28","40.56","2.11M","-0.19%"
"07/11/2024","41.36","40.64","41.86","40.58","4.57M","0.58%"
"07/12/2024","40.64","40.70","40.72","39.98","2.99M","-1.74%"
"07/15/2024","41.24","40.32","41.40","40.12","2.60M","1.48%"
"07/16/2024","41.64","41.16","41.64","40.96","2.38M","0.97%"
"07/17/2024","43.00","42.64","43.54","42.08","6.44M","3.27%"
"07/18/2024","44.24","42.00","44.89","41.76","5.88M","2.88%"
"07/19/2024","46.12","44.96","46.68","44.36","6.75M","4.25%"
"07/22/2024","43.68","45.24","45.42","43.38","4.13M","-5.29%"
"07/23/2024","43.32","43.68","43.88","42.68","3.29M","-0.82%"
"07/24/2024","49.19","44.70","49.67","44.67","15.19M","13.55%"
"07/25/2024","49.59","48.57","51.04","46.61","17.22M","0.81%"
"07/26/2024","46.78","48.05","48.46","46.72","8.96M","-5.67%"
"07/29/2024","45.91","46.37","47.25","45.68","5.32M","-1.86%"
"07/30/2024","47.37","45.76","49.14","45.65","7.64M","3.18%"
"07/31/2024","46.25","46.12","46.54","44.62","6.75M","-2.36%"
"08/01/2024","50.51","46.11","52.13","45.83","10.03M","9.21%"
"08/02/2024","62.68","54.46","64.45","53.82","34.05M","24.09%"
"08/05/2024","87.26","90.08","91.02","72.37","34.75M","39.22%"
"08/06/2024","70.47","77.48","80.42","62.00","17.97M","-19.24%"
"08/07/2024","68.96","61.43","71.80","60.38","12.11M","-2.15%"
"08/08/2024","63.47","67.74","67.74","62.61","6.18M","-7.95%"
"08/09/2024","55.78","62.73","64.05","54.51","8.22M","-12.12%"
"08/12/2024","54.76","54.72","56.17","51.22","6.19M","-1.83%"
"08/13/2024","50.42","53.34","53.50","50.33","5.27M","-7.93%"
"08/14/2024","47.14","49.48","49.90","47.06","5.64M","-6.51%"
"08/15/2024","45.33","45.83","46.56","44.66","6.01M","-3.83%"
"08/16/2024","45.23","46.12","46.45","45.00","4.00M","-0.23%"
"08/19/2024","44.43","45.29","45.45","44.03","5.12M","-1.77%"
"08/20/2024","46.17","44.74","46.44","44.52","6.03M","3.92%"
"08/21/2024","46.89","46.07","48.01","45.99","5.10M","1.56%"
"08/22/2024","48.87","46.35","49.16","46.19","5.20M","4.21%"
"08/23/2024","45.94","47.55","48.14","45.73","6.82M","-5.99%"
"08/26/2024","45.90","45.66","47.05","45.57","3.06M","-0.09%"
"08/27/2024","44.99","46.53","46.92","44.94","2.72M","-1.98%"
"08/28/2024","47.58","45.05","48.24","44.91","5.54M","5.76%"
"08/29/2024","45.88","46.02","46.58","45.16","5.39M","-3.56%"
"08/30/2024","44.50","45.04","46.00","44.36","4.82M","-3.02%"
"09/03/2024","53.54","45.62","55.20","45.52","10.68M","20.31%"
"09/04/2024","54.97","55.03","56.21","51.24","8.75M","2.67%"
"09/05/2024","52.24","53.99","54.64","51.40","7.61M","-4.97%"
"09/06/2024","56.11","51.34","58.58","50.70","9.68M","7.41%"
"09/09/2024","52.45","54.98","55.55","51.94","6.14M","-6.52%"
"09/10/2024","51.52","51.95","54.91","51.40","5.12M","-1.77%"
"09/11/2024","49.33","50.77","55.71","49.29","7.40M","-4.25%"
"09/12/2024","48.94","49.85","51.02","48.88","4.30M","-0.79%"
"09/13/2024","48.79","49.20","49.37","47.71","4.37M","-0.31%"
"09/16/2024","49.24","49.07","50.45","48.96","4.14M","0.92%"
"09/17/2024","50.30","49.15","51.07","48.70","4.63M","2.15%"
"09/18/2024","49.88","50.10","50.93","47.56","7.65M","-0.83%"
"09/19/2024","47.72","47.97","48.73","47.35","4.12M","-4.33%"
"09/20/2024","47.43","48.06","48.25","46.93","4.00M","-0.61%"
"09/23/2024","47.73","47.06","48.15","46.63","3.11M","0.63%"
"09/24/2024","47.76","47.45","49.36","47.15","2.84M","0.06%"
"09/25/2024","48.41","48.03","48.59","47.44","2.90M","1.36%"
"09/26/2024","48.48","48.15","48.95","48.00","2.76M","0.14%"
"09/27/2024","50.73","48.40","50.77","48.34","3.29M","4.64%"
"09/30/2024","49.60","51.00","52.17","49.53","3.84M","-2.23%"
"10/01/2024","53.43","49.50","54.06","49.50","11.33M","7.72%"
"10/02/2024","52.71","53.53","55.12","52.39","4.44M","-1.35%"
"10/03/2024","55.09","53.90","55.40","53.01","4.49M","4.52%"
"10/04/2024","53.00","53.89","54.75","52.72","4.29M","-3.79%"
"10/07/2024","57.72","53.97","58.16","53.85","5.44M","8.91%"
"10/08/2024","55.39","55.68","56.36","54.67","4.08M","-4.04%"
"10/09/2024","54.03","55.00","55.28","53.72","3.57M","-2.46%"
"10/10/2024","54.71","54.28","55.45","54.19","3.56M","1.26%"
"10/11/2024","54.07","54.81","54.90","53.63","3.44M","-1.17%"
"10/14/2024","52.15","53.31","53.52","51.59","2.86M","-3.55%"
"10/15/2024","53.85","51.23","54.08","50.86","5.53M","3.26%"
"10/16/2024","53.33","53.72","54.61","52.97","2.99M","-0.97%"
"10/17/2024","52.45","52.81","53.50","52.34","2.15M","-1.65%"
"10/18/2024","51.21","52.09","52.39","51.14","2.49M","-2.36%"
"10/21/2024","51.35","51.60","52.71","51.09","2.86M","0.27%"
"10/22/2024","51.15","52.04","52.57","50.81","2.80M","-0.39%"
"10/23/2024","53.72","51.75","55.09","51.61","5.48M","5.02%"
"10/24/2024","52.81","52.53","55.25","52.47","3.98M","-1.69%"
"10/25/2024","55.29","52.19","55.39","51.72","4.71M","4.70%"
"10/28/2024","52.71","53.06","53.38","52.01","3.93M","-4.67%"
"10/29/2024","52.48","52.84","53.25","51.71","2.95M","-0.44%"
"10/30/2024","53.76","52.95","53.92","52.12","3.05M","2.44%"
"10/31/2024","57.87","55.21","58.00","55.10","7.31M","7.65%"
"11/01/2024","56.85","56.31","57.05","54.96","6.15M","-1.76%"
"11/04/2024","54.47","56.37","56.71","54.15","4.55M","-4.19%"
"11/05/2024","51.55","53.69","53.69","51.41","6.25M","-5.36%"
"11/06/2024","46.74","46.00","48.49","46.00","7.84M","-9.33%"
"11/07/2024","45.09","45.74","45.74","44.84","4.39M","-3.53%"
"11/08/2024","44.77","45.03","45.61","44.57","3.23M","-0.71%"
"11/11/2024","44.65","44.37","44.75","43.92","3.17M","-0.27%"
"11/12/2024","44.52","44.92","45.73","44.36","3.23M","-0.29%"
"11/13/2024","43.53","44.24","44.78","43.35","3.03M","-2.21%"
"11/14/2024","43.48","43.27","43.84","42.78","3.47M","-0.13%"
"11/15/2024","46.59","44.16","48.63","43.95","8.24M","7.15%"
"11/18/2024","44.89","46.31","46.64","44.15","4.36M","-3.65%"
"11/19/2024","46.38","47.52","47.62","45.21","6.25M","3.32%"
"11/20/2024","48.03","46.43","49.83","46.34","7.87M","3.56%"
"11/21/2024","47.65","46.58","49.27","46.43","5.66M","-0.79%"
"11/22/2024","45.76","47.29","47.56","45.72","4.06M","-3.97%"
"11/25/2024","43.88","44.39","46.25","43.88","3.64M","-4.11%"
"11/26/2024","43.61","44.04","44.06","43.23","3.00M","-0.62%"
"11/27/2024","43.45","43.69","44.82","43.32","2.62M","-0.37%"
"11/29/2024","42.58","43.00","43.08","42.42","2.11M","-1.99%"
"12/02/2024","42.30","42.62","42.74","42.14","1.99M","-0.67%"
"12/03/2024","42.07","42.60","43.24","41.71","2.80M","-0.54%"
"12/04/2024","42.33","41.68","42.39","41.30","2.80M","0.62%"
"12/05/2024","42.42","42.56","42.70","42.11","2.28M","0.21%"
"12/06/2024","41.76","41.68","42.18","41.47","3.31M","-1.56%"
"12/09/2024","42.89","41.67","43.07","41.59","3.58M","2.71%"
"12/10/2024","42.46","42.45","42.86","42.02","2.80M","-1.00%"
"12/11/2024","42.13","41.59","42.33","41.38","3.38M","-0.78%"
"12/12/2024","42.47","42.24","42.92","41.84","3.06M","0.81%"
"12/13/2024","42.50","41.97","43.03","41.75","2.85M","0.07%"
"12/16/2024","43.22","42.30","43.46","42.30","3.03M","1.69%"
"12/17/2024","44.29","43.75","44.50","43.24","4.13M","2.48%"
"12/18/2024","51.72","44.00","51.89","43.38","8.14M","16.78%"
"12/19/2024","56.14","49.59","56.85","48.89","11.43M","8.55%"
"12/20/2024","48.08","55.82","55.98","47.63","10.97M","-14.36%"
"12/23/2024","44.38","46.92","48.82","44.38","4.05M","-7.70%"
"12/24/2024","42.28","43.97","44.05","42.18","2.88M","-4.73%"
"12/26/2024","42.55","42.61","44.02","42.26","3.62M","0.64%"
"12/27/2024","44.43","43.18","46.87","43.09","5.91M","4.42%"
"12/30/2024","45.53","46.92","48.49","44.14","5.88M","2.48%"
"12/31/2024","45.80","44.68","46.26","44.37","3.12M","0.59%"
"01/02/2025","46.84","45.10","49.02","44.85","4.29M","2.27%"
"01/03/2025","44.10","46.00","46.30","44.09","4.06M","-5.85%"
"01/06/2025","43.90","43.82","44.88","43.28","3.99M","-0.45%"
"01/07/2025","46.41","43.49","47.40","43.40","6.02M","5.72%"
"01/08/2025","46.34","47.08","48.61","45.93","6.50M","-0.15%"
"01/10/2025","49.45","47.93","50.47","47.59","7.04M","6.71%"
"01/13/2025","48.52","51.11","51.50","48.12","6.04M","-1.88%"
"01/14/2025","47.42","47.63","49.06","46.42","4.71M","-2.27%"
"01/15/2025","43.55","45.05","45.15","43.43","8.38M","-8.16%"
"01/16/2025","43.62","43.43","43.91","43.11","4.31M","0.16%"
"01/17/2025","43.96","42.97","43.96","42.77","5.61M","0.78%"
"01/21/2025","42.11","43.03","43.40","41.98","5.74M","-4.21%"
"01/22/2025","42.75","42.08","42.86","41.98","6.64M","1.52%"
"01/23/2025","41.93","42.55","42.61","41.70","6.33M","-1.92%"
"01/24/2025","41.74","41.61","42.15","41.46","4.12M","-0.45%"
"01/27/2025","44.49","46.70","46.92","43.94","15.69M","6.59%"
"01/28/2025","43.02","44.00","45.21","42.74","5.99M","-3.30%"
"01/29/2025","42.91","42.90","44.56","42.66","4.45M","-0.26%"
"01/30/2025","42.68","42.30","43.24","42.16","3.76M","-0.54%"
"01/31/2025","44.12","42.14","44.72","41.92","7.30M","3.37%"
"02/03/2025","45.07","47.13","48.20","43.48","12.00M","2.15%"
"02/04/2025","43.69","44.52","45.07","43.42","4.99M","-3.06%"
"02/05/2025","42.80","43.74","44.30","42.70","3.79M","-2.04%"
"02/06/2025","42.53","42.39","43.33","42.34","3.46M","-0.63%"
"02/07/2025","43.96","42.19","44.12","42.13","5.00M","3.36%"
"02/10/2025","42.85","43.17","43.59","42.83","4.52M","-2.53%"
"02/11/2025","42.90","43.14","43.33","42.56","4.02M","0.12%"
"02/12/2025","42.87","43.97","44.26","42.64","5.26M","-0.07%"
"02/13/2025","42.06","42.81","43.30","42.06","5.24M","-1.89%"
"02/14/2025","42.00","42.08","42.47","41.83","4.11M","-0.14%"
"02/18/2025","41.80","41.75","42.17","41.44","5.82M","-0.48%"
"02/19/2025","41.27","42.20","42.20","41.27","4.51M","-1.27%"
"02/20/2025","41.49","41.31","42.30","41.04","6.61M","0.53%"
"02/21/2025","44.33","41.51","44.87","41.49","13.52M","6.85%"
"02/24/2025","44.70","43.85","45.76","43.08","8.91M","0.83%"
"02/25/2025","45.14","45.00","47.03","44.02","13.49M","0.98%"
"02/26/2025","44.10","44.57","45.44","43.04","6.53M","-2.30%"
"02/27/2025","46.57","43.48","46.79","43.25","9.47M","5.60%"
"02/28/2025","45.83","47.13","48.15","45.39","6.94M","-1.59%"
"03/03/2025","49.29","44.51","50.77","44.51","8.26M","7.55%"
"03/04/2025","50.59","51.57","54.50","48.33","13.64M","2.64%"
"03/05/2025","48.45","50.23","51.75","48.27","12.95M","-4.23%"
"03/06/2025","53.73","51.47","53.90","50.16","13.13M","10.90%"
"03/07/2025","51.23","53.39","55.34","51.02","8.45M","-4.65%"
"03/10/2025","56.48","53.94","57.87","53.52","13.19M","10.25%"
"03/11/2025","56.94","57.32","60.28","55.94","11.26M","0.81%"
"03/12/2025","53.97","54.71","57.39","53.53","7.67M","-5.22%"
