"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2017","206.75","205.08","207.07","204.91","3.54M","0.74%"
"03/29/2017","206.31","206.53","206.56","205.94","2.32M","-0.21%"
"03/30/2017","206.96","206.30","207.26","206.15","2.85M","0.32%"
"03/31/2017","206.34","206.72","206.93","206.30","4.18M","-0.30%"
"04/03/2017","206.25","206.52","206.63","204.88","4.44M","-0.04%"
"04/04/2017","206.65","206.02","206.77","205.81","2.56M","0.19%"
"04/05/2017","206.26","207.59","208.65","206.16","4.11M","-0.19%"
"04/06/2017","206.45","206.45","207.29","205.92","3.19M","0.09%"
"04/07/2017","206.38","206.19","207.07","205.89","2.61M","-0.03%"
"04/10/2017","206.39","206.49","207.32","205.95","2.40M","0.00%"
"04/11/2017","206.33","206.22","206.42","204.94","3.51M","-0.03%"
"04/12/2017","205.67","206.30","206.30","205.35","2.18M","-0.32%"
"04/13/2017","204.37","205.34","205.94","204.36","3.61M","-0.63%"
"04/17/2017","206.17","204.93","206.26","204.86","2.26M","0.88%"
"04/18/2017","205.08","205.36","205.81","204.42","2.50M","-0.53%"
"04/19/2017","203.85","205.26","205.30","203.64","3.61M","-0.60%"
"04/20/2017","205.70","204.35","206.21","204.17","3.87M","0.91%"
"04/21/2017","205.25","205.51","205.73","204.77","3.03M","-0.22%"
"04/24/2017","207.38","207.33","207.63","207.03","3.22M","1.04%"
"04/25/2017","209.68","208.95","209.98","208.84","3.48M","1.11%"
"04/26/2017","209.47","209.81","210.43","209.44","2.87M","-0.10%"
"04/27/2017","209.56","209.73","209.77","209.06","1.95M","0.04%"
"04/28/2017","209.08","209.63","209.63","208.97","1.93M","-0.23%"
"05/01/2017","208.92","209.49","209.49","208.70","1.89M","-0.08%"
"05/02/2017","209.13","209.10","209.30","208.75","1.36M","0.10%"
"05/03/2017","209.22","208.87","209.47","208.47","1.83M","0.04%"
"05/04/2017","209.19","209.65","209.65","208.20","2.64M","-0.01%"
"05/05/2017","209.77","209.07","209.78","208.76","1.67M","0.28%"
"05/08/2017","209.92","209.70","210.02","209.53","2.31M","0.07%"
"05/09/2017","209.62","210.14","210.32","209.22","1.57M","-0.14%"
"05/10/2017","209.48","209.19","209.81","208.90","1.39M","-0.07%"
"05/11/2017","209.28","209.14","209.45","208.10","3.09M","-0.10%"
"05/12/2017","209.01","208.97","209.28","208.82","1.58M","-0.13%"
"05/15/2017","209.93","209.40","210.13","209.40","1.82M","0.44%"
"05/16/2017","209.95","210.32","210.46","209.46","1.75M","0.01%"
"05/17/2017","206.47","208.12","208.59","206.37","5.72M","-1.66%"
"05/18/2017","206.96","206.03","207.96","205.85","6.65M","0.24%"
"05/19/2017","207.77","206.75","208.31","206.58","4.89M","0.39%"
"05/22/2017","208.65","208.32","208.87","208.32","2.25M","0.42%"
"05/23/2017","209.12","209.10","209.35","208.69","3.46M","0.23%"
"05/24/2017","209.82","209.32","209.96","209.07","3.48M","0.33%"
"05/25/2017","210.58","210.52","210.92","210.30","2.20M","0.36%"
